birth_date,borrower_gender,borrower_id,defaulters
2020-03-01,female,1,0
2020-01-11,female,2,0
2020-01-25,female,3,0
2020-03-29,male,4,0
2020-01-07,male,5,0
2020-02-13,male,6,0
2020-03-13,female,7,0
2020-03-26,female,8,0
2020-01-03,male,9,0
2020-03-23,male,10,0
2020-03-04,female,11,0
2020-01-11,male,12,0
2020-03-01,male,13,0
2020-03-23,male,14,0
2020-02-21,female,15,0
2020-02-11,female,16,0
2020-01-29,male,17,0
2020-03-30,male,18,0
2020-02-11,female,19,0
2020-01-10,female,20,0
2020-02-22,male,21,0
2020-03-19,female,22,0
2020-01-09,male,23,0
2020-01-04,male,24,0
2020-01-24,male,25,0
2020-03-12,male,26,0
2020-01-25,female,27,0
2020-03-26,female,28,0
2020-03-17,female,29,0
2020-02-13,male,30,0
2020-02-12,male,31,0
2020-03-08,female,32,0
2020-01-12,female,33,0
2020-01-17,female,34,0
2020-03-08,female,35,0
2020-03-14,female,36,0
2020-02-12,female,37,0
2020-03-20,female,38,0
2020-04-01,male,39,0
2020-02-10,male,40,0
2020-03-31,male,41,0
2020-03-23,male,42,0
2020-03-27,female,43,0
2020-02-17,male,44,0
2020-03-27,male,45,0
2020-03-22,female,46,0
2020-03-20,female,47,0
2020-03-15,male,48,0
2020-03-25,male,49,0
2020-01-11,male,50,0
2020-03-28,female,51,0
2020-01-14,male,52,0
2020-02-13,female,53,0
2020-03-25,male,54,0
2020-01-12,male,55,0
2020-02-28,female,56,0
2020-01-20,female,57,0
2020-02-25,female,58,0
2020-03-22,female,59,0
2020-03-29,male,60,0
2020-01-02,female,61,0
2020-02-06,male,62,0
2020-02-12,female,63,0
2020-02-20,male,64,0
2020-01-16,male,65,0
2020-03-12,male,66,0
2020-03-28,male,67,0
2020-02-15,female,68,0
2020-01-01,male,69,0
2020-02-01,female,70,0
2020-02-04,male,71,0
2020-02-03,male,72,0
2020-03-03,male,73,0
2020-02-06,male,74,0
2020-02-19,female,75,0
2020-04-01,female,76,0
2020-02-07,female,77,0
2020-01-11,male,78,0
2020-02-11,male,79,0
2020-03-10,female,80,0
2020-02-07,male,81,0
2020-01-08,female,82,0
2020-01-04,male,83,0
2020-02-15,female,84,0
2020-03-15,male,85,0
2020-02-27,male,86,0
2020-02-25,male,87,0
2020-02-25,female,88,0
2020-03-02,male,89,0
2020-01-11,male,90,0
2020-02-16,other,91,0
2020-01-26,male,92,0
2020-02-19,male,93,0
2020-03-19,male,94,0
2020-01-08,male,95,0
2020-01-08,male,96,1
2020-02-04,female,97,0
2020-02-14,female,98,0
2020-01-06,male,99,0
2020-03-07,female,100,0
2020-01-25,female,101,0
2020-01-17,female,102,0
2020-02-10,female,103,0
2020-01-04,female,104,0
2020-01-23,male,105,0
2020-02-19,female,106,0
2020-03-02,male,107,0
2020-02-25,male,108,0
2020-03-14,female,109,0
2020-01-14,female,110,0
2020-02-28,male,111,0
2020-02-06,male,112,0
2020-03-24,female,113,0
2020-01-01,female,114,0
2020-02-05,male,115,0
2020-01-15,female,116,0
2020-03-02,male,117,0
2020-02-10,female,118,0
2020-03-21,male,119,0
2020-03-24,male,120,0
2020-03-06,male,121,0
2020-02-06,female,122,0
2020-03-11,male,123,0
2020-03-17,female,124,0
2020-01-17,male,125,0
2020-01-20,male,126,0
2020-03-24,female,127,0
2020-02-14,female,128,0
2020-01-23,male,129,0
2020-02-19,female,130,0
2020-01-06,female,131,0
2020-03-25,female,132,0
2020-03-21,male,133,0
2020-03-07,male,134,0
2020-03-13,female,135,0
2020-02-04,female,136,0
2020-01-21,male,137,0
2020-02-29,female,138,0
2020-03-15,other,139,0
2020-02-26,male,140,0
2020-01-16,male,141,0
2020-02-06,male,142,0
2020-01-31,female,143,0
2020-01-08,female,144,0
2020-01-30,male,145,0
2020-02-20,male,146,0
2020-02-13,male,147,0
2020-02-25,female,148,0
2020-03-16,female,149,0
2020-01-15,male,150,0
2020-02-29,female,151,0
2020-03-18,female,152,0
