birth_date,borrower_gender,borrower_id,defaulters
2020-01-19,female,2749,0
2020-02-14,male,5546,0
2020-03-06,other,4694,0
2020-02-16,male,1431,0
2020-03-20,female,684,0
2020-03-18,male,9907,0
2020-02-26,male,6821,0
2020-03-30,male,2931,0
2020-03-21,female,5761,0
2020-01-12,female,4522,0
2020-03-17,female,7848,0
2020-02-22,male,5768,0
2020-01-01,female,787,0
2020-01-27,female,7824,0
2020-02-04,male,2153,0
2020-01-01,female,1101,0
2020-01-03,male,6235,0
2020-01-11,male,6753,0
2020-03-11,female,656,0
2020-03-22,male,9179,0
2020-03-05,male,8863,0
2020-03-31,other,6954,0
2020-01-05,female,623,0
2020-02-18,female,4707,0
2020-01-09,male,8347,0
2020-02-11,female,6352,0
2020-01-10,male,7175,0
2020-02-05,male,7890,0
2020-01-11,female,3616,0
2020-03-05,female,6388,0
2020-01-29,female,853,0
2020-01-14,male,4436,0
2020-02-08,male,9822,0
2020-02-17,male,5994,0
2020-02-13,female,4941,0
2020-03-26,male,2769,0
2020-01-23,female,5372,0
2020-03-06,female,9029,0
2020-01-20,male,2649,0
2020-02-19,male,5032,0
2020-01-12,male,5012,0
2020-01-09,male,7157,0
2020-02-18,male,2502,0
2020-02-03,female,678,0
2020-02-13,male,5163,0
2020-01-13,male,181,0
2020-03-23,female,2622,0
2020-03-04,female,4051,0
2020-03-07,female,6139,0
2020-01-15,male,8588,0
2020-01-26,female,2250,0
2020-01-02,female,448,0
2020-03-04,female,1703,0
2020-01-17,female,3392,0
2020-01-27,female,2969,0
2020-03-17,other,2653,0
2020-02-17,male,5513,0
2020-01-03,male,512,0
2020-02-11,female,9735,0
2020-03-05,female,2020,0
2020-02-16,male,7545,0
2020-01-04,male,6923,0
2020-02-16,male,2396,0
2020-01-03,male,5709,0
2020-02-09,male,3151,0
2020-02-24,other,4914,0
2020-03-25,male,4002,0
2020-03-24,female,7645,0
2020-03-21,male,6175,0
2020-01-17,female,5051,0
2020-01-25,male,2526,0
2020-01-19,male,6498,0
2020-01-19,female,9896,0
2020-01-28,female,5006,0
2020-01-26,male,5036,0
2020-03-04,male,5393,0
2020-01-09,other,3953,0
2020-02-21,female,545,0
2020-02-15,male,1637,0
2020-01-23,female,3555,0
2020-02-20,male,738,0
2020-02-14,female,9158,0
2020-03-06,male,5209,0
2020-01-22,male,4530,0
2020-02-22,female,5306,0
2020-04-01,male,7810,0
2020-03-13,male,8573,0
2020-02-22,female,1614,0
2020-03-02,female,8000,0
2020-01-12,female,5555,0
2020-02-15,male,4294,0
2020-03-15,male,1743,0
2020-03-09,male,671,0
2020-02-15,female,9712,0
2020-03-24,female,4561,0
2020-03-14,female,5630,0
2020-01-28,male,5156,0
2020-02-21,male,2456,0
2020-02-29,female,7141,0
2020-02-15,female,3757,0
2020-03-01,male,9230,0
2020-01-30,male,2189,0
2020-02-17,female,8590,0
2020-03-24,female,7940,0
2020-03-17,male,4508,0
2020-01-03,female,2214,0
2020-02-09,male,1322,0
2020-02-06,female,232,0
2020-02-03,male,2119,0
2020-01-13,female,9357,0
2020-02-11,male,3030,0
2020-01-09,male,881,0
2020-02-27,male,6389,0
2020-02-12,male,1836,0
2020-03-18,female,6550,0
2020-02-01,male,9361,0
2020-01-19,male,5669,0
2020-01-19,other,3996,0
2020-02-04,male,596,0
2020-02-03,female,3664,0
2020-03-02,female,6684,0
2020-01-03,male,8821,0
2020-01-15,male,5348,0
2020-02-08,female,437,0
2020-02-07,other,8249,0
2020-02-15,male,1026,0
2020-02-16,female,3348,0
2020-01-15,female,7540,0
2020-02-22,male,2844,0
2020-01-26,male,6119,0
2020-03-30,female,8887,0
2020-01-17,female,4773,0
2020-01-09,male,8041,0
2020-03-03,male,1977,0
2020-02-18,male,9007,0
2020-02-09,female,5609,0
2020-03-11,female,4155,0
2020-02-09,male,2658,0
2020-01-04,female,9800,0
2020-02-15,male,8123,0
2020-03-15,male,8619,0
2020-01-24,female,3150,0
2020-02-16,male,9409,0
2020-03-14,male,416,0
2020-02-12,female,3689,0
2020-02-10,male,255,0
2020-03-27,other,4219,0
2020-03-22,female,1341,0
2020-01-24,male,7222,0
2020-02-07,male,3972,0
2020-01-01,male,2237,0
2020-02-07,male,2338,0
2020-01-11,male,3257,0
2020-03-31,male,792,0
2020-01-29,male,190,0
2020-01-10,other,4759,0
2020-02-21,male,1744,0
2020-01-03,male,366,0
2020-02-06,male,9590,0
2020-02-02,female,8436,0
2020-02-01,male,6469,0
2020-02-01,male,2345,0
2020-03-08,male,3955,0
2020-03-29,male,5426,0
2020-03-08,male,3483,0
2020-01-06,male,474,0
2020-03-07,male,866,0
2020-04-01,female,9635,0
2020-03-15,male,9874,0
2020-01-26,male,863,0
2020-02-13,female,1412,0
2020-02-13,female,3331,0
2020-01-15,female,1537,0
2020-03-20,male,653,0
2020-02-28,female,3258,0
2020-02-01,female,9803,0
2020-02-24,male,5720,0
2020-01-17,female,211,0
2020-03-04,male,3519,0
2020-02-06,male,4464,0
2020-01-10,male,4766,0
2020-02-16,female,8634,0
2020-03-25,female,8841,0
2020-01-09,female,8278,0
2020-03-28,male,157,0
2020-03-11,female,2837,0
2020-03-06,female,2804,0
2020-01-30,male,2596,0
2020-03-07,female,8231,0
2020-01-13,female,721,0
2020-01-10,male,6224,0
2020-03-09,male,3983,1
2020-03-01,female,9894,0
2020-02-12,female,938,0
2020-02-23,female,4193,0
2020-02-03,other,3774,0
2020-03-15,male,2022,0
2020-03-20,male,1502,0
2020-02-14,female,8350,0
2020-02-22,male,9772,0
2020-01-13,male,5146,0
2020-01-02,male,8222,0
2020-01-21,male,120,0
2020-01-30,male,3711,0
2020-03-22,female,6242,0
2020-02-10,female,7537,0
2020-04-01,female,7701,0
2020-01-29,female,5448,0
2020-03-02,male,1381,0
2020-02-04,male,2562,0
2020-01-20,female,5111,0
2020-03-14,male,5240,0
2020-01-25,male,3692,0
2020-03-29,female,9972,0
2020-03-26,male,9330,0
2020-01-01,male,4680,0
2020-01-05,female,7954,0
2020-01-25,female,3069,0
2020-02-02,male,9260,0
2020-01-22,female,9743,0
2020-03-03,other,3976,0
2020-01-11,female,7398,0
2020-03-27,female,4690,0
2020-03-02,female,8490,0
2020-03-06,female,1025,0
2020-01-11,male,883,0
2020-03-11,male,3130,0
2020-02-26,male,8308,0
2020-03-09,male,9674,0
2020-03-12,male,5559,0
2020-02-22,male,7569,0
2020-02-28,female,8986,0
2020-02-10,male,1884,0
2020-02-22,female,3850,0
2020-03-06,male,7469,0
2020-01-18,female,6745,0
2020-01-06,female,4001,0
2020-01-23,female,3612,0
2020-03-07,female,3553,0
2020-03-23,male,9441,0
2020-01-20,female,4008,0
2020-02-10,female,5532,0
2020-03-04,female,4118,0
2020-02-13,female,8035,0
2020-03-03,male,1207,0
2020-02-19,male,8582,0
2020-03-18,male,8758,0
2020-02-21,male,7188,0
